resource_id,title,description,topic,subtopic,difficulty,modality,estimated_duration_min,curriculum_tag,tags
R001,Linear Equations - Video 1,"This resource teaches linear equations in algebra. It includes video material with intermediate level explanation, step-by-step examples, practice support, and curriculum alignment for sec3 learners.",algebra,linear equations,intermediate,video,25,sec3,"algebra,intermediate,linear equations,sec3,video"
R002,Linear Equations - Video 2,"This resource teaches linear equations in algebra. It includes video material with beginner level explanation, step-by-step examples, practice support, and curriculum alignment for sec3 learners.",algebra,linear equations,beginner,video,42,sec3,"algebra,beginner,linear equations,sec3,video"
R003,Linear Equations - Video 3,"This resource teaches linear equations in algebra. It includes video material with intermediate level explanation, step-by-step examples, practice support, and curriculum alignment for sec3 learners.",algebra,linear equations,intermediate,video,9,sec3,"algebra,intermediate,linear equations,sec3,video"
R004,Linear Equations - Practice Set 4,"This resource teaches linear equations in algebra. It includes practice set material with beginner level explanation, step-by-step examples, practice support, and curriculum alignment for pre-u learners.",algebra,linear equations,beginner,practice set,9,pre-u,"algebra,beginner,linear equations,practice set,pre-u"
R005,Quadratic Equations - Practice Set 1,"This resource teaches quadratic equations in algebra. It includes practice set material with beginner level explanation, step-by-step examples, practice support, and curriculum alignment for sec3 learners.",algebra,quadratic equations,beginner,practice set,34,sec3,"algebra,beginner,practice set,quadratic equations,sec3"
R006,Quadratic Equations - Quiz 2,"This resource teaches quadratic equations in algebra. It includes quiz material with intermediate level explanation, step-by-step examples, practice support, and curriculum alignment for sec3 learners.",algebra,quadratic equations,intermediate,quiz,8,sec3,"algebra,intermediate,quadratic equations,quiz,sec3"
R007,Quadratic Equations - Quiz 3,"This resource teaches quadratic equations in algebra. It includes quiz material with intermediate level explanation, step-by-step examples, practice support, and curriculum alignment for sec3 learners.",algebra,quadratic equations,intermediate,quiz,25,sec3,"algebra,intermediate,quadratic equations,quiz,sec3"
R008,Quadratic Equations - Quiz 4,"This resource teaches quadratic equations in algebra. It includes quiz material with beginner level explanation, step-by-step examples, practice support, and curriculum alignment for sec3 learners.",algebra,quadratic equations,beginner,quiz,14,sec3,"algebra,beginner,quadratic equations,quiz,sec3"
R009,Factorisation - Quiz 1,"This resource teaches factorisation in algebra. It includes quiz material with intermediate level explanation, step-by-step examples, practice support, and curriculum alignment for pre-u learners.",algebra,factorisation,intermediate,quiz,30,pre-u,"algebra,factorisation,intermediate,pre-u,quiz"
R010,Factorisation - Video 2,"This resource teaches factorisation in algebra. It includes video material with beginner level explanation, step-by-step examples, practice support, and curriculum alignment for pre-u learners.",algebra,factorisation,beginner,video,37,pre-u,"algebra,beginner,factorisation,pre-u,video"
R011,Factorisation - Worked Example 3,"This resource teaches factorisation in algebra. It includes worked example material with beginner level explanation, step-by-step examples, practice support, and curriculum alignment for pre-u learners.",algebra,factorisation,beginner,worked example,13,pre-u,"algebra,beginner,factorisation,pre-u,worked example"
R012,Factorisation - Practice Set 4,"This resource teaches factorisation in algebra. It includes practice set material with beginner level explanation, step-by-step examples, practice support, and curriculum alignment for pre-u learners.",algebra,factorisation,beginner,practice set,31,pre-u,"algebra,beginner,factorisation,practice set,pre-u"
R013,Simultaneous Equations - Video 1,"This resource teaches simultaneous equations in algebra. It includes video material with beginner level explanation, step-by-step examples, practice support, and curriculum alignment for pre-u learners.",algebra,simultaneous equations,beginner,video,10,pre-u,"algebra,beginner,pre-u,simultaneous equations,video"
R014,Simultaneous Equations - Quiz 2,"This resource teaches simultaneous equations in algebra. It includes quiz material with beginner level explanation, step-by-step examples, practice support, and curriculum alignment for sec3 learners.",algebra,simultaneous equations,beginner,quiz,13,sec3,"algebra,beginner,quiz,sec3,simultaneous equations"
R015,Simultaneous Equations - Worked Example 3,"This resource teaches simultaneous equations in algebra. It includes worked example material with advanced level explanation, step-by-step examples, practice support, and curriculum alignment for sec4 learners.",algebra,simultaneous equations,advanced,worked example,25,sec4,"advanced,algebra,sec4,simultaneous equations,worked example"
R016,Simultaneous Equations - Quiz 4,"This resource teaches simultaneous equations in algebra. It includes quiz material with intermediate level explanation, step-by-step examples, practice support, and curriculum alignment for sec4 learners.",algebra,simultaneous equations,intermediate,quiz,18,sec4,"algebra,intermediate,quiz,sec4,simultaneous equations"
R017,Algebraic Fractions - Quiz 1,"This resource teaches algebraic fractions in algebra. It includes quiz material with intermediate level explanation, step-by-step examples, practice support, and curriculum alignment for pre-u learners.",algebra,algebraic fractions,intermediate,quiz,12,pre-u,"algebra,algebraic fractions,intermediate,pre-u,quiz"
R018,Algebraic Fractions - Practice Set 2,"This resource teaches algebraic fractions in algebra. It includes practice set material with intermediate level explanation, step-by-step examples, practice support, and curriculum alignment for sec3 learners.",algebra,algebraic fractions,intermediate,practice set,23,sec3,"algebra,algebraic fractions,intermediate,practice set,sec3"
R019,Algebraic Fractions - Quiz 3,"This resource teaches algebraic fractions in algebra. It includes quiz material with intermediate level explanation, step-by-step examples, practice support, and curriculum alignment for sec3 learners.",algebra,algebraic fractions,intermediate,quiz,43,sec3,"algebra,algebraic fractions,intermediate,quiz,sec3"
R020,Algebraic Fractions - Video 4,"This resource teaches algebraic fractions in algebra. It includes video material with intermediate level explanation, step-by-step examples, practice support, and curriculum alignment for sec3 learners.",algebra,algebraic fractions,intermediate,video,22,sec3,"algebra,algebraic fractions,intermediate,sec3,video"
R021,Angles - Worked Example 1,"This resource teaches angles in geometry. It includes worked example material with advanced level explanation, step-by-step examples, practice support, and curriculum alignment for sec3 learners.",geometry,angles,advanced,worked example,25,sec3,"advanced,angles,geometry,sec3,worked example"
